FID,amenity,name,Lat,Log,Remarks
1,police,Balkhu,27.6847585,85.2980741,
2,police,Kalimati,27.6963576,85.2993664,
3,police,Rangers,27.7073176,85.2925744,
4,police,Imadol Police Station,27.6592311,85.3439525,
5,police,Satdobato Police Station,27.6584715,85.3248474,
6,police,Kamal Pokhari Police Station,27.7102167,85.3255759,
7,police,mangalbazar police station,27.6725186,85.3251065,
8,police,balkumari police station,27.6719324,85.3361568,
9,police,"Metropolitan Police Beat, Mandikhatar",27.736285,85.3477888,
10,police,Durbar Marg Police Station,27.7130123,85.318138,
11,police,Traffic station,27.694123,85.2821442,
12,police,Tourist Police,27.6739246,85.3256523,
13,police,Mahanagariya Prahari Parisar,27.7039529,85.3327052,
14,police,Community Police Service,27.7268479,85.3351501,
15,police,"Police Office, Kirtipur",27.6777094,85.2750397,
16,police,Metro Police Range - Pulchowk,27.6772242,85.3165788,
17,police,Mahanagariya Prahari Bit,27.6734631,85.3156145,
18,police,Police,27.6856352,85.3068102,
19,police,Gahana Pokhari Police Bit,27.7166129,85.3326743,
20,police,Boudha Police Branch,27.7202554,85.3600858,
23,police,Kapan Police Beat,27.7367724,85.3541516,
25,police,Old Baneshwar Police Station,27.7014959,85.3403139,
26,police,Metropolitan Police Circle,27.7184446,85.3094495,
27,police,Tilingatar Police Station,27.7380078,85.3255859,
28,police,Mahanagariya Prahari Pahara Gana HQ,27.7359145,85.322846,
29,police,Golfutar police Bit,27.7474597,85.3483052,
30,police,Nepal Police,27.7005014,85.3247576,
31,police,SOCIAL POLICE SERVICE,27.6860297,85.2822864,
32,police,Kalimati Police Station,27.6972867,85.2993512,
33,police,Police booth,27.692437,85.2977524,
35,police,Rastriya Suchana Aayog,27.681951,85.3475686,
37,police,Sanothimi Police Station,27.6825804,85.3719717,
38,police,Ranibari Police station,27.7301705,85.3179649,
39,police,Lokanthali Police,27.6746428,85.3585513,
40,police,Temporary police Beat,27.7230833,85.3017347,
42,police,Gaurighat Police Beat,27.7133153,85.3496355,
44,police,Metropolitan Police Post,27.7121975,85.3388588,
45,police,Nagdhunga Checkpost,27.7064432,85.2056663,
46,police,Metropolitan Traffic Police,27.6770404,85.2760508,
47,police,Police Station,27.6785543,85.3412105,
49,police,Jorpati Police Station,27.7213663,85.3726523,
51,police,"Police station,thimi",27.6821105,85.3914749,
52,police,Thapathali,27.6890227,85.3204209,
53,police,Lazimpat Police Office,27.7226711,85.3211019,
54,police,Nagdhunga ,27.6992529,85.2096788,
55,police,Mahanagariya Prahari Bit Ward no 4,27.7326164,85.3387306,
61,police,Police Post,27.6812781,85.3033803,
69,police,Samudayik Prahari Chowk,27.7118179,85.3370065,
70,police,Nepal Police Academy,27.733809,85.3297429,
71,police,Manicipilty Polica Station Thali,27.7270088,85.4056106,
72,police,jagati police checking post,27.665954,85.4389626,
74,police,Mandikhatar,27.7363124,85.3477827,
76,police,Mahanagar Prahare Kendra,27.6967938,85.3036787,
79,police,"Sub Police Station, Tokha",27.7562498,85.3273557,
81,police,Police bit mid Baneshwar,27.695491,85.3374992,
82,police,Buddhanilkantha Police Station,27.7769981,85.3619988,
84,police,Traffick Police Post,27.6698403,85.4105113,
85,police,Traffic Police Durbar murg,27.713044,85.3179788,
