S.No:,Name,Is it a protected area?,Is it a buffer zone of protected area?,Is it a cultural heritage Site?,Densely populated area?,Special area for protection of biodiversity,Will project require temporary or permanent support facilities?,Are ecosystems related to project fragile or degraded?,Will project cause impairment of ecological opportunities?,"Will project cause air, soil or water pollution?",Will project cause soil erosion and siltation?,Will project cause increased waste production?,Will project cause Hazardous Waste production?,Will project cause threat to local ecosystems due to invasive species?,Will project cause Greenhouse Gas Emissions?,Will project cause use of pesticides?,Does the project encourage the use of environmentally friendly technologies?,"Other environmental issues, e.g. noise and traffic"
1,Aamchaur,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
2,Budabhimshen Mandir Khel Maidan,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
3,Deurali Danda,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
4,Gorakhkali Football Ground,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
5,Gyan Namuna School,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
6,Kalinchok Secondary School,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
7,Kharidhunga Football Ground,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
8,Madkeno Football Ground,No,No,No,No,No,Yes,No,,No,,No,No,No,No,No,Yes,No
9,Mahadevtari Picnic Spot,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
10,Rampure Khel Maidan,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
11,Rangasala,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
12,Ranitar Khel Maidan,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
13,Shikhar Ground,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
14,Tundikhel_Bhimeshwor,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
15,Tundikhel_Chautara,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
